campLocation,timestamp,source,destination,user,device,eventType,eventDescription,eventSeverity,mlRiskScore,entropy,log_hash,anomaly_score
Bangalore,2023-09-15T20:57,10.0.0.2,192.168.0.3,user123,DeviceXYZ,system-failure,Critical system failure: Error message: 67,error,0.37,4.041625614369224,3a13c718e1e0bd702f4c1a812854433e37dcd7b03e0b95614e457ccd0ddff5f8,1
Bangalore,2023-09-14T20:50,172.16.0.10,192.168.0.3,anonymous,DeviceXYZ,file-access,File access: Delete to file '/path/to/file11.txt' by user 'anonymous' from IP 172.16.0.10,error,0.23,4.612785635833087,0157446ce9dbaa216c5412c1fe4956e2f8f0b881bd01feb0a4a610e5eabdc0fb,1
Bangalore,2023-09-13T11:25,172.16.0.10,192.168.10.6,admin,Workstation123,malware-detection,Malware detected: File 'file30.txt' found on device 'Workstation123',critical,0.37,4.4194345770559185,13224a246db32186dee2fdf5ae904af32211f092d99d88d202fd5de8b977da6a,1
Bangalore,2023-09-14T18:18,10.0.0.2,192.168.0.3,guest,DeviceXYZ,software-update,Software update: Software5 updated to version v4,error,0.27,3.996653522439334,af0736e2559b5101d28c2a4c846ac21449b6ac61cd65d289aea13d6b1f7fc5ed,1
Bangalore,2023-09-13T08:10,10.0.0.2,192.168.2.6,user123,ServerABC,dns-queries,DNS query from IP 10.0.0.2 for domain 'example11.com',critical,0.17,4.432240559033819,46a650c5b0e197152cbcd69609dd17e4f58753664d8c449c5ce8a684aeca6be1,1
Bangalore,2023-09-18T08:09,10.1.1.1,10.0.0.3,admin,Workstation123,auth-lockout,User 'admin' locked out after multiple failed login attempts from IP 10.1.1.1,error,0.37,4.322598380996785,c9c33e82cce3efb3aaa2ac983b26ab388959d218accc74651ca4820824b4254c,1
Bangalore,2023-09-15T16:57,10.0.0.2,10.0.0.3,anonymous,DeviceXYZ,dns-queries,DNS query from IP 10.0.0.2 for domain 'example323.com',critical,0.17,4.497181076961735,c6a2b41a4a32ae9a624331af43857cc4278bf49709020c42dc1dc91f18fd4cb3,1
Bangalore,2023-09-17T16:39,192.168.0.1,10.10.10.20,admin,ServerABC,network-connected,Device 'ServerABC' connected to the network at IP 192.168.0.1,informational,0.13,4.4202624935068595,b89c0c5d6807368d5c78e9c4c2a68fce108e335257a8be8fc64bd0d3c4070b25,1
Bangalore,2023-09-18T01:48,172.16.0.10,192.168.2.6,guest,Workstation123,api-called,API called: API4 from IP 172.16.0.10,warning,0.2,4.1524474880231255,93e6ce6766173e0c40e78de44b0abf4764e4fce31e85942d604ab072a7a86a2a,1
Bangalore,2023-09-13T15:10,10.1.1.1,10.0.0.101,anonymous,Workstation123,system-restart,System restart: Reason5,error,0.3,3.6424896731661263,a68dc2ccf180a0d7d118fe691787df0c579dcefdb9382bb423eaddab696d864f,1
Bangalore,2023-09-18T15:40,192.168.10.5,10.0.0.101,user123,DeviceXYZ,system-failure,Critical system failure: Error message: 2,critical,0.37,3.973916493564412,33ecb7d2dd19f08dcd52d51f298b045b84171225bcb7d31fb533029cf565d723,1
Bangalore,2023-09-13T06:05,172.16.0.10,172.16.1.101,user123,ServerABC,auth-lockout,User 'user123' locked out after multiple failed login attempts from IP 172.16.0.10,critical,0.37,4.50256590396782,2bdbc838dd5b293aabad965bdfd9106e681c396e66d613c8ed5169d1f707ad66,1
Bangalore,2023-09-17T15:30,192.168.0.1,192.168.0.3,admin,ServerABC,system-failure,Critical system failure: Error message: 31,critical,0.37,4.041625614369224,8dd079562a83029a7db65fe3928378131edd44f47f4412310c611c9128836400,1
Bangalore,2023-09-17T12:03,192.168.10.5,10.1.1.2,guest,ServerABC,system-shutdown,System shutdown: Reason7,critical,0.33,3.9701755214643453,23345a47519b93edc5acfd7256c34e0affea3e63d03b4816150e7943baaf480a,1
Bangalore,2023-09-15T11:47,192.168.10.5,10.10.10.20,anonymous,Workstation123,system-shutdown,System shutdown: Reason7,critical,0.33,3.9701755214643453,12f246699ab416f3510e2c91935e132ac208d0beb93761f8bad5ee8936463e14,1
Bangalore,2023-09-15T14:52,10.10.10.10,10.0.0.101,user123,Workstation123,malware-detection,Malware detected: File 'file358.txt' found on device 'Workstation123',error,0.37,4.464670515253233,a2d3f67cc7863656b4c8b4ba70e2059a268d382a5e16e62e44a74eb4dc45a03a,1
Bangalore,2023-09-16T03:40,10.0.0.100,10.1.1.2,anonymous,DeviceXYZ,dns-queries,DNS query from IP 10.0.0.100 for domain 'example149.com',informational,0.17,4.458680146426705,0c7984362500d15ec3bec12721910496cbaa5c1822cbb48da6913629d573370c,1
Bangalore,2023-09-13T16:05,10.1.1.1,10.0.0.101,anonymous,DeviceXYZ,auth-failed,Failed login attempt for user 'anonymous' from IP 10.1.1.1,informational,0.33,4.325328357376175,addf1ddb01470cb79d3301874fdb449b7229a2d1edca288b22a5ac43dd5626a5,1
Bangalore,2023-09-13T16:16,10.0.0.100,10.1.1.2,anonymous,Workstation123,application-usage,User 'anonymous' used application 'App8',warning,0.13,4.096439344671015,ea2a88d9271035fd564a72353b0cc99a33a3a2cb6d0b5a8cb5ccd243d6a022ce,1
Bangalore,2023-09-14T09:33,9.219.109.30,29.219.62.57,anonymous,Workstation123,system-restart,System restart: Reason4,error,0.83,3.6424896731661263,a69c5efe35d5d94beb9c694bddbe875b19055a7bf529c0a0d337fd75e3820629,1
Bangalore,2023-09-17T19:45,172.16.1.100,192.168.0.3,guest,DeviceXYZ,permission-changes,User 'guest' changed permissions for file '/path/to/file276.txt',critical,0.17,4.417837797403417,cdd14860523e3eac11ab1089bf6f107b073d3b4b40c61eb2ad2368edcfa86ffb,1
Bangalore,2023-09-12T21:15,192.168.0.1,10.0.0.101,user123,ServerABC,system-shutdown,System shutdown: Reason6,error,0.33,3.9701755214643453,959dfeb5a1d782cbd349213d21ab85b1fece8655ea452b89969e105788a5c24e,1
Bangalore,2023-09-12T23:01,47.181.174.137,224.67.95.6,admin,Workstation123,auth-success,Successful login for user 'admin' from IP 47.181.174.137,critical,0.63,4.433503190458541,d039b839d0e5c76b7aa69d2fbee55584a2fc9355c7b9b8d9e727b2b875438997,1
Bangalore,2023-09-16T17:11,10.10.10.10,10.0.0.101,anonymous,Workstation123,network-disconnected,Device 'Workstation123' disconnected from the network at IP 10.10.10.10,error,0.13,4.4137135847697335,2108aa073e19365a01fe2d4a7442a91561c856bec9de0f14873001721c3daadb,1
Bangalore,2023-09-14T18:32,10.0.0.2,10.0.0.3,admin,Workstation123,network-connected,Device 'Workstation123' connected to the network at IP 10.0.0.2,warning,0.13,4.278302741918052,e03132ddd46d22dabfb6b6bd7feac359762b2c9041b35d76cfb9131158d446a0,1
Bangalore,2023-09-13T15:30,192.168.10.5,192.168.0.2,anonymous,Workstation123,network-connected,Device 'Workstation123' connected to the network at IP 192.168.10.5,warning,0.13,4.449959713778758,ff4ef342ec547e33ce6137e3f57c2bbefd3c20b6aaa525901836a108353074ad,1
Bangalore,2023-09-18T13:12,10.10.10.10,172.16.1.101,anonymous,ServerABC,application-usage,User 'anonymous' used application 'App7',critical,0.13,4.096439344671015,c9d77184964921ccc6259456adb462cbad528401f4cd72b1949dd245970a4c7a,1
Bangalore,2023-09-17T12:46,10.0.0.100,192.168.2.6,anonymous,Workstation123,malware-detection,Malware detected: File 'file612.txt' found on device 'Workstation123',critical,0.37,4.435685008006856,550e14841bde951fb972a5b8bb7406092d98c1d0364e0beff5c763161ed1351a,1
Bangalore,2023-09-16T14:52,10.0.0.2,10.10.10.20,anonymous,DeviceXYZ,system-shutdown,System shutdown: Reason3,critical,0.33,3.9701755214643453,7591d486161cadaa21dc9e1d8f69e5244d2c4067de804fab5679316f58a0da9a,1
Bangalore,2023-09-14T22:51,172.16.0.10,172.16.1.101,anonymous,DeviceXYZ,system-failure,Critical system failure: Error message: 64,error,0.37,4.041625614369224,bc8fa546de2bbfcb8e7a39ba68f8313a23be8bebbc37862f722e4f28122f3819,1
Bangalore,2023-09-15T21:38,10.0.0.2,192.168.0.3,user123,Workstation123,file-access,File access: Write to file '/path/to/file676.txt' by user 'user123' from IP 10.0.0.2,warning,0.23,4.618633556414978,e3efc42d9f34ce22b5a23c2fa169149c0effb8321c1f024b76738fe6394a83ce,1
Bangalore,2023-09-14T13:38,10.1.1.1,172.16.0.20,anonymous,DeviceXYZ,auth-failed,Failed login attempt for user 'anonymous' from IP 10.1.1.1,informational,0.33,4.325328357376175,73e52f6dbc3724fbc4a6c1c3514a04d8f191156ff2e68c71323698f30dd507dd,1
Bangalore,2023-09-13T00:15,192.168.0.1,172.16.0.20,admin,ServerABC,dns-queries,DNS query from IP 192.168.0.1 for domain 'example253.com',warning,0.17,4.676466383271868,e4ec3f6e3b58b66d6fc2456eb090dc9c6406c508d90b58ea74fb9d88c98e7c8c,1
Bangalore,2023-09-14T03:25,192.168.0.1,10.1.1.2,anonymous,ServerABC,auth-lockout,User 'anonymous' locked out after multiple failed login attempts from IP 192.168.0.1,error,0.37,4.532414883377147,4632798ef598709fd825a9d6df94bc2eb01a1c6c0749a4c633293639a3451bb0,1
Bangalore,2023-09-16T04:52,10.0.0.2,192.168.10.6,admin,DeviceXYZ,application-usage,User 'admin' used application 'App8',critical,0.13,4.016875695766563,29dba1b117ad9d4306f00259ba31aa2327cb640ae6df2b5454907f501e313fa6,1
Bangalore,2023-09-13T11:17,172.16.1.100,192.168.0.3,admin,DeviceXYZ,network-connected,Device 'DeviceXYZ' connected to the network at IP 172.16.1.100,critical,0.13,4.343320455855792,466091c51dd024141746739f6db6fd5e06b69dbe8ee8f90cf27741f3883643e3,1
Bangalore,2023-09-17T04:26,172.16.1.100,192.168.2.6,anonymous,Workstation123,system-restart,System restart: Reason8,informational,0.3,3.6424896731661263,2c86fb03be5bb4c39b077543e97e027c9cb390b19c69ba60a29829cd2a6ab999,1
Bangalore,2023-09-16T15:03,10.1.1.1,10.1.1.2,admin,DeviceXYZ,application-errors,Application error: Error message: 61,informational,0.27,3.9749375012019263,459c97bfc0562759d4aa595c7990bfc1b2c709161b0362372a77e2ce47d4c0a2,1
Bangalore,2023-09-17T08:15,10.10.10.10,10.0.0.101,admin,ServerABC,application-errors,Application error: Error message: 41,critical,0.27,3.9749375012019263,17f5121bfa6afc7c0eb6767bfdd29d31f7edffc21bd8cc0a778d8111ca2a51c5,1
Bangalore,2023-09-15T06:35,172.16.1.100,172.16.1.101,anonymous,DeviceXYZ,network-connected,Device 'DeviceXYZ' connected to the network at IP 172.16.1.100,warning,0.13,4.343320455855792,b61d38fc635a7de179c0c1cd0d99ef2433ced521fa5f1e50f2debb535f813f44,1
Bangalore,2023-09-14T15:35,172.16.0.10,192.168.0.2,admin,DeviceXYZ,system-shutdown,System shutdown: Reason8,informational,0.33,3.9701755214643453,d2a20c4d63a39dda156b52aa40fcbc7fe8d2a6cc3f8f983dda6e09187fa67872,1
Bangalore,2023-09-14T11:16,172.16.0.10,10.10.10.20,admin,DeviceXYZ,dns-queries,DNS query from IP 172.16.0.10 for domain 'example526.com',critical,0.17,4.606290944675378,92e53af1ba2a111d6c16df1032c5c8fa60d1ffb2540f6bb9118f4629e1e3063e,1
Bangalore,2023-09-15T18:10,109.165.227.172,114.45.209.78,anonymous,Workstation123,dns-queries,DNS query from IP 109.165.227.172 for domain 'example143.com',warning,0.7,4.718997223449876,1a5452aff98718cb43a10e9ea245cea73faceab9c7ceb7bc141e994a27d9d766,-1
Bangalore,2023-09-12T18:30,192.168.0.1,192.168.2.6,guest,DeviceXYZ,software-update,Software update: Software2 updated to version v3,informational,0.27,3.996653522439334,0e9aec35d8a3bd9097f86896e3925935e66b0dbe436afa98a738244defec6d2f,1
Bangalore,2023-09-17T03:35,172.16.1.100,172.16.0.20,user123,ServerABC,network-disconnected,Device 'ServerABC' disconnected from the network at IP 172.16.1.100,critical,0.13,4.558334712716668,837c5babb9463e3ae0750873befdd35db2086189adaebeab7678f9dd7fd16e81,1
Bangalore,2023-09-17T23:52,172.16.0.10,192.168.2.6,admin,DeviceXYZ,auth-lockout,User 'admin' locked out after multiple failed login attempts from IP 172.16.0.10,informational,0.37,4.466210897400883,78fd878d96fdcdd9a4d36091fda42bf0c96b6635bc9520e8a6d5b45a60b7b641,1
Bangalore,2023-09-15T16:48,10.0.0.2,192.168.0.3,guest,ServerABC,auth-success,Successful login for user 'guest' from IP 10.0.0.2,warning,0.1,4.200240000427043,870b27dcbbef54292fddfb453b103103b25d86546b34976c870b294eadb43610,1
Bangalore,2023-09-13T18:11,10.10.10.10,172.16.1.101,admin,DeviceXYZ,malware-detection,Malware detected: File 'file53.txt' found on device 'DeviceXYZ',critical,0.37,4.320445948776045,6750c7322c2066557e1aff43dfc07dbdacc9547a943a47d4187e5a002f594481,1
Bangalore,2023-09-13T09:26,10.0.0.100,10.10.10.20,user123,ServerABC,system-shutdown,System shutdown: Reason9,error,0.33,3.9701755214643453,fa2b756f1b857c68c80fa8ed3673b89f9c7aa8563f36d1b766268d0e3ff3edd9,1
Bangalore,2023-09-16T01:12,172.16.1.100,10.1.1.2,admin,Workstation123,application-errors,Application error: Error message: 56,warning,0.27,3.9749375012019263,5fe19eb71c035d295cbfd2086cdf1281d8736726ba42973f86342abc35b45640,1
Bangalore,2023-09-16T16:33,192.168.10.5,10.1.1.2,admin,Workstation123,auth-failed,Failed login attempt for user 'admin' from IP 192.168.10.5,informational,0.33,4.533946727550482,392811f0d21f111cb30c91f1f4c96112bba702a3d454c6037e0c55296cbf0cf4,1
Bangalore,2023-09-18T14:44,192.168.2.5,10.1.1.2,guest,Workstation123,file-access,File access: Write to file '/path/to/file996.txt' by user 'guest' from IP 192.168.2.5,warning,0.23,4.646025739351847,8330b6575a8d9413fd644340fd56915a91ea0d2aca6f4e9fd31ad1b4722075ec,1
Bangalore,2023-09-14T09:22,10.0.0.100,172.16.1.101,admin,ServerABC,system-restart,System restart: Reason9,warning,0.3,3.6424896731661263,a072ded056a06de174191e30b492e1499453eec136b444efd5bf93dc6f76f3aa,1
Bangalore,2023-09-13T02:24,10.10.10.10,10.0.0.101,admin,ServerABC,auth-lockout,User 'admin' locked out after multiple failed login attempts from IP 10.10.10.10,error,0.37,4.3506469911779275,469b635cf6f2a9a92b9513ed2de38b19dbb10d87a899044a04fa4f59811fe84f,1
Bangalore,2023-09-13T09:23,192.168.2.5,192.168.0.2,user123,DeviceXYZ,software-update,Software update: Software7 updated to version v4,error,0.27,3.996653522439334,8da78ca29536dad20960c9f417f495dacedf099495f98ffc0a6677b2e4799e60,1
Bangalore,2023-09-14T15:18,192.168.10.5,10.10.10.20,guest,Workstation123,dns-queries,DNS query from IP 192.168.10.5 for domain 'example674.com',error,0.17,4.721495702698373,5f83130ecfd7fa2964edbc99c0a1a363c8b8fd16c12a449ca29ed9aa28dbe7b9,-1
Bangalore,2023-09-15T05:04,192.168.2.5,172.16.1.101,admin,ServerABC,malware-detection,Malware detected: File 'file564.txt' found on device 'ServerABC',error,0.37,4.388508938909887,b8443238c532bf319e7d2455b8da7ef8f68401f4b4dbce03f9c0cfdfacd465e6,1
Bangalore,2023-09-17T22:22,192.168.0.1,10.10.10.20,guest,DeviceXYZ,application-usage,User 'guest' used application 'App3',warning,0.13,4.016875695766563,bd3a7c07cb3c2d8e25ae823ab02cb7bcc34b9da5dc6ac52cfaffa82c91e39c0a,1
Bangalore,2023-09-16T16:02,10.0.0.100,10.0.0.101,user123,Workstation123,network-connected,Device 'Workstation123' connected to the network at IP 10.0.0.100,error,0.13,4.258595460503929,69ff1fc4ff4998663dad284a989ca79158b04b33f0498275a5fd0229cc762a66,1
Bangalore,2023-09-13T14:00,10.10.10.10,192.168.0.3,user123,DeviceXYZ,system-failure,Critical system failure: Error message: 90,critical,0.37,4.041625614369224,3f0c1c10599689ac1d400046223fc697d4fd1db68115a59ab624888458d448d9,1
Bangalore,2023-09-13T15:31,172.16.1.100,172.16.1.101,anonymous,DeviceXYZ,system-shutdown,System shutdown: Reason8,informational,0.33,3.9701755214643453,39abe210063a12d8c0ffeb80ef9df2b5db56bd2ddad628e1a7ac524107c65ef4,1
Bangalore,2023-09-16T16:28,10.0.0.2,192.168.10.6,admin,ServerABC,auth-lockout,User 'admin' locked out after multiple failed login attempts from IP 10.0.0.2,warning,0.37,4.364742699150508,8df7c19e505f56e70ced00ddc5d62376293776461688cfeadc636b7cbb74a064,1
Bangalore,2023-09-18T08:13,192.168.2.5,192.168.0.3,user123,ServerABC,system-shutdown,System shutdown: Reason8,error,0.33,3.9701755214643453,36d4a82be658697fda337cfc52947add47010dab479885e968369498c4da93d0,1
Bangalore,2023-09-14T06:59,192.168.10.5,10.0.0.3,anonymous,Workstation123,firewall-change,Firewall rule change: Port 38930 opened for IP 192.168.10.5,warning,0.3,4.583843210665386,8a4692a5d8ec58760c67babba1f3118c4c4fbb022a589c5912a0a2308d300a78,1
Bangalore,2023-09-15T06:27,63.242.134.112,44.203.122.101,user123,ServerABC,network-disconnected,Device 'ServerABC' disconnected from the network at IP 63.242.134.112,warning,0.67,4.593606702966851,38b09e2046d94b39c5df474e19936c7b162fe49bacaf9b4e1820961e6887f61e,1
Bangalore,2023-09-15T19:26,192.168.0.1,10.10.10.20,anonymous,Workstation123,software-update,Software update: Software1 updated to version v2,warning,0.27,3.996653522439334,d03afaf9d151bec00ee5da0017e3b011913075b89558cfc44c945caf19379cff,1
Bangalore,2023-09-13T05:15,6.240.241.219,164.76.255.107,anonymous,DeviceXYZ,malware-detection,Malware detected: File 'file598.txt' found on device 'DeviceXYZ',error,0.9,4.369054056131191,5781db4dd019b91b546c5ed5bbb3feae33fab92afa7ac14a68e07c814cb416e0,1
Bangalore,2023-09-15T20:46,172.16.1.100,192.168.10.6,guest,DeviceXYZ,auth-success,Successful login for user 'guest' from IP 172.16.1.100,error,0.1,4.321074132437163,935fdba377a8c44c4d58588c044d33d3ac6d3c411aafbb4f6253738748992e17,1
Bangalore,2023-09-16T20:54,192.168.1.100,172.16.0.20,admin,Workstation123,auth-success,Successful login for user 'admin' from IP 192.168.1.100,warning,0.1,4.468981359572222,498c85e09447681c72daf70658d935a1589b7a296735558133bb96ec6fb50e3b,1
Bangalore,2023-09-14T19:01,172.16.0.10,10.10.10.20,anonymous,ServerABC,software-update,Software update: Software1 updated to version v2,informational,0.27,3.996653522439334,630df2f81165d6455a08d36b962988f3b557e49b0d284a1fd12c0088ddb7ba64,1
Bangalore,2023-09-16T16:33,192.168.0.1,10.10.10.20,admin,DeviceXYZ,auth-success,Successful login for user 'admin' from IP 192.168.0.1,informational,0.1,4.464982775892491,c7ca29a1826c0336f7a06197fde9b2e9853f85cd1356425b03c1c3c44b803b17,1
Bangalore,2023-09-14T15:21,10.0.0.100,10.1.1.2,user123,DeviceXYZ,network-connected,Device 'DeviceXYZ' connected to the network at IP 10.0.0.100,informational,0.13,4.182158204685785,18468e873abd0f5eb9dac1352cb58f8bd2d440f8d62b128e331ac90e88b6764b,1
Bangalore,2023-09-12T19:32,172.16.0.10,192.168.0.2,user123,Workstation123,file-access,File access: Write to file '/path/to/file299.txt' by user 'user123' from IP 172.16.0.10,informational,0.23,4.6614556248768,584e27f79118cc543986cf186856e9acec6f99a19b5f114b42b60f0826fe962b,1
Bangalore,2023-09-12T15:24,192.168.1.100,10.0.0.101,admin,ServerABC,permission-changes,User 'admin' changed permissions for file '/path/to/file239.txt',critical,0.17,4.417837797403417,4d1d86168605d624c69f040d9121048606b3c7caf34c1897c6ba1c9c8751b0f6,1
Bangalore,2023-09-14T01:08,192.168.2.5,192.168.0.3,anonymous,DeviceXYZ,application-errors,Application error: Error message: 27,error,0.27,3.9749375012019263,10e423d5750ba250ad08ca1c9a41e1aa0facd4605287c1397e8bfad556b6f604,1
Bangalore,2023-09-15T09:45,192.168.1.100,192.168.0.2,anonymous,DeviceXYZ,network-connected,Device 'DeviceXYZ' connected to the network at IP 192.168.1.100,critical,0.13,4.391973526977261,e634e42fdba7cb390bb45ea73cf1c75a04436e46dc9d62235f5fcd723905f8bb,1
Bangalore,2023-09-15T23:24,10.0.0.2,10.10.10.20,guest,Workstation123,auth-success,Successful login for user 'guest' from IP 10.0.0.2,critical,0.1,4.200240000427043,c6bd8759d180e340521f198d98ad5d509659af040a74749aa057275459e5fc3f,1
Bangalore,2023-09-14T14:05,10.0.0.100,172.16.1.101,guest,Workstation123,malware-detection,Malware detected: File 'file42.txt' found on device 'Workstation123',error,0.37,4.4194345770559185,ce8147237216708d4f2dfe955b2922f05a30064ce454d25c5e57e5a5ba7a941a,1
Bangalore,2023-09-15T21:34,10.1.1.1,10.0.0.101,admin,Workstation123,firewall-change,Firewall rule change: Port 18116 opened for IP 10.1.1.1,informational,0.3,4.262709032882287,37135948bce8aab8444f9a1778eef7b30d758fbb7f9d62d1a829ae80e969bf90,1
Bangalore,2023-09-15T16:03,178.239.159.153,111.191.39.147,user123,ServerABC,system-shutdown,System shutdown: Reason6,error,0.87,3.9701755214643453,698e9dd7438130664c8a69d940c1b98060adba878702bb405c792fafc7f6c9c0,1
Bangalore,2023-09-14T05:17,10.1.1.1,192.168.0.2,admin,ServerABC,auth-lockout,User 'admin' locked out after multiple failed login attempts from IP 10.1.1.1,critical,0.37,4.322598380996785,53150d568146d9aa7a4254ae454e5c095dd4f1254c1dbbac26fc5cff11837f98,1
Bangalore,2023-09-18T15:34,177.174.103.6,213.246.168.200,anonymous,DeviceXYZ,auth-failed,Failed login attempt for user 'anonymous' from IP 177.174.103.6,error,0.87,4.542301701374392,717f33b3949929a190d5434c65c8b60cb9b567975b5aee37da23fb11ab288228,1
Bangalore,2023-09-16T18:01,172.16.0.10,10.1.1.2,anonymous,DeviceXYZ,dns-queries,DNS query from IP 172.16.0.10 for domain 'example977.com',warning,0.17,4.593047304286546,9e7ece0493e668840bc9eaf81fe146bfe22c3275c5c1a16cd45c054c1748209e,1
Bangalore,2023-09-16T15:01,172.16.1.100,10.0.0.101,anonymous,Workstation123,network-disconnected,Device 'Workstation123' disconnected from the network at IP 172.16.1.100,critical,0.13,4.513558599134237,852358c6798b9331eba6b766b253179f3c81769e34993d6610da1fbf41c56b40,1
Bangalore,2023-09-17T10:58,10.1.1.1,10.1.1.2,user123,ServerABC,system-restart,System restart: Reason2,error,0.3,3.6424896731661263,fa6419f905fb1a635e60cb8348807e8a6f7c59eba0174b63e21a86a41f032a50,1
Bangalore,2023-09-17T11:02,10.0.0.100,192.168.0.3,user123,ServerABC,api-called,API called: API5 from IP 10.0.0.100,error,0.2,3.8868846325059936,cf960299c323c0bf27c8e3ca90fcabf6176b37c11cf43f1b75c504dbecd8af78,-1
Bangalore,2023-09-17T08:31,10.0.0.100,10.10.10.20,admin,DeviceXYZ,permission-changes,User 'admin' changed permissions for file '/path/to/file1000.txt',critical,0.17,4.391394451976996,2b362cd3ca7098116dfa0340c5f24ac72afacdb41ab88a3816953bda306c104e,1
Bangalore,2023-09-16T10:21,192.168.2.5,192.168.0.2,anonymous,Workstation123,dns-queries,DNS query from IP 192.168.2.5 for domain 'example872.com',warning,0.17,4.641378663973622,6e726251370288945ecbf9ea613c7d735fa9354387f8e8e6f30f15d324739900,1
Bangalore,2023-09-15T04:11,50.133.211.2,58.61.32.57,admin,DeviceXYZ,system-shutdown,System shutdown: Reason8,informational,0.87,3.9701755214643453,ff0c46d4c7036445ee37e49ac8395351697544229241908caa24af83f343a660,1
Bangalore,2023-09-16T06:25,172.16.0.10,172.16.1.101,admin,DeviceXYZ,malware-detection,Malware detected: File 'file212.txt' found on device 'DeviceXYZ',informational,0.37,4.337804056131191,fb224701618ca96430dc48b7b3b8ff12d1142e1e1e7746280cb34c9f4415c566,1
Bangalore,2023-09-14T18:57,10.0.0.2,10.10.10.20,user123,DeviceXYZ,software-update,Software update: Software10 updated to version v2,error,0.27,4.058815334777912,430d24b748162ce7dbf516c55f4ecb8a391e1a35a1a5121217d39aa30f3d2dee,1
Bangalore,2023-09-17T23:48,192.168.1.100,192.168.0.2,anonymous,Workstation123,firewall-change,Firewall rule change: Port 20439 opened for IP 192.168.1.100,informational,0.3,4.5630707542236735,f1c9c7ca825e43bb4c79ca11789a645dc9ccdc43538929f894c033b5a16f58c4,1
Bangalore,2023-09-16T05:24,192.168.2.5,172.16.0.20,anonymous,DeviceXYZ,malware-detection,Malware detected: File 'file978.txt' found on device 'DeviceXYZ',critical,0.37,4.369054056131191,e1182b39faa255a69356a6846ae074b732ca4b0753e8e5b98f17f6b95937fb2b,1
Bangalore,2023-09-14T21:33,10.0.0.2,10.0.0.3,anonymous,ServerABC,software-update,Software update: Software10 updated to version v4,informational,0.27,4.058815334777912,4f0b6f221c742540bebc3ea41cfa28e1dbe6b0a720efce7578b50842a85b314e,1
Bangalore,2023-09-14T07:13,192.168.1.100,172.16.1.101,user123,DeviceXYZ,malware-detection,Malware detected: File 'file615.txt' found on device 'DeviceXYZ',informational,0.37,4.369054056131191,15717d97b7c153d9f87a19b274c368d1b88b782ede14816a41b167b067dc7259,1
